danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,emotion
0.747,0.524,10,-6.807,0,0.245,0.0306,0,0.2,0.363,140.053,40oKW22ZNNkEdZLJTScaQI,4,sad
0.75,0.567,0,-6.4,1,0.48,0.137,0,0.109,0.398,151.895,4AEzAEnbm9uRgbmTdeI63K,4,sad
0.775,0.539,5,-4.303,1,0.0881,0.372,8.11e-06,0.225,0.624,144.966,3ZOwmSmQKX4vTK4N6e2GsW,4,sad
0.719,0.855,3,-5.977,0,0.39,0.384,0,0.0696,0.504,132.83,3tK9aXMLi2QSMvxAS7rpv5,4,sad
0.715,0.67,11,-5.779,1,0.194,0.251,0,0.109,0.124,86.01,1yQunV0upd4Eyu3rcOerD9,4,sad
0.866,0.613,0,-6.385,1,0.151,0.0293,0,0.104,0.359,98.001,2toVe5hfuIi97ytDPDbQFt,4,sad
0.649,0.818,4,-6.786,0,0.0354,0.0924,0,0.671,0.208,109.966,108IEI9pc04fBMp5CQaUFo,4,sad
0.474,0.513,4,-6.098,1,0.0273,0.0123,0.0402,0.254,0.149,136.171,0fQlm2MUzqGDBPkuqq4U1Y,3,sad
0.741,0.219,10,-11.878,0,0.0813,0.853,0.935,0.109,0.519,156.116,76bqpXdcQBtnQw6ByKQjvO,4,sad
0.626,0.272,11,-14.041,1,0.0325,0.858,0.00133,0.109,0.157,149.834,5I87NkyM3GoQhuHoJGo3fu,4,sad
0.612,0.0606,0,-15.235,1,0.0351,0.797,0.943,0.117,0.145,83.092,2wdxmhbldL8GzplUFEWeqE,4,sad
0.299,0.676,4,-3.187,1,0.051,0.273,0,0.113,0.298,167.498,08f0fHqZigPgPHCfRjk8SC,3,sad
0.936,0.514,2,-8.908,0,0.271,0.747,0,0.11,0.812,129.997,44nlOJLjLqwNgYcT277V25,4,sad
0.775,0.723,0,-4.095,1,0.0468,0.282,0.000371,0.126,0.756,104.991,0cge96qsW6ifXppeiiRIGd,4,sad
0.597,0.468,8,-9.457,1,0.117,0.0826,6.92e-06,0.0774,0.353,119.555,00BnfL75e8vHSGCmwUWbEk,4,sad
0.796,0.338,5,-9.754,0,0.315,0.104,1.12e-06,0.165,0.474,166.0,3OnOomd79OjqSYHchCQ6ht,4,sad
0.779,0.742,0,-4.235,0,0.0667,0.277,0,0.339,0.433,139.958,2O2RzYXVrmqwPwYdIbcJt2,4,sad
0.769,0.508,8,-14.753,0,0.528,0.7,0,0.133,0.688,83.092,72UnikVahbg2B24xxrlJJN,4,sad
0.683,0.642,1,-5.894,0,0.118,0.129,0,0.137,0.447,83.999,7lgCStQgORdOUUKZOgasFg,4,sad
0.246,0.19,9,-12.596,0,0.0376,0.586,0.000877,0.0568,0.0393,126.653,1fNMNJqWaPxUHFpZ0Zl3UA,4,sad
0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,5uCax9HTNlzGybIStD3vDh,4,sad
0.68,0.332,2,-12.581,1,0.0297,0.764,0,0.12,0.313,114.936,5ak3ZwyjRdwABZQfovFcZG,4,sad
0.648,0.28,5,-11.961,1,0.0333,0.396,0.0785,0.106,0.0393,120.058,51ZPtAuqT0V5lNONYZTrxy,4,sad
0.714,0.765,4,-6.215,0,0.354,0.0105,0,0.566,0.52,74.986,2oMOqX9k4k16odibNkYyrD,4,sad
0.349,0.214,6,-18.295,0,0.0538,0.926,0.121,0.321,0.236,201.128,5cvbog6wen3r3bBbcwL16U,4,sad
0.61,0.258,0,-12.758,1,0.0331,0.883,0.0145,0.103,0.164,127.08,2oe6dDthgthqUkfL3czpEd,4,sad
0.642,0.562,11,-4.869,0,0.0812,0.032,0,0.168,0.177,158.001,69g6PNgMneFIDOc6q29oUC,4,sad
0.859,0.629,1,-9.877,1,0.169,0.109,0,0.101,0.218,126.802,3NhFBP9nR8FuMZeMNKEwoV,4,sad
0.734,0.389,1,-9.999,1,0.06,0.109,0.000515,0.0947,0.398,135.151,2Q118suTcAQ6XVFWgj4SOL,4,sad
0.588,0.36,6,-8.429,1,0.0298,0.66,0,0.218,0.448,148.396,67x5PxH6RZAW7FXdVpXGKo,3,sad
0.752,0.613,11,-6.721,0,0.224,0.298,0,0.259,0.72,85.903,4g961nx81RWUkg61J6UuG9,4,sad
0.45,0.397,3,-13.312,1,0.0904,0.921,0,0.15,0.217,74.469,4ZHIeZTivomfZbuYup787y,4,sad
0.467,0.31,7,-13.497,1,0.0295,0.284,0,0.535,0.333,91.956,5Oyo8cy0wMOFyFWSWs5svO,4,sad
0.743,0.411,2,-7.343,1,0.376,0.254,0,0.292,0.339,119.693,7t2eWdGWBTAxaXxaGqq9ts,4,sad
0.41,0.803,7,-5.363,1,0.0623,0.239,0,0.103,0.814,153.315,5xoUgPXbMNUmoHU0Enwtwq,4,sad
0.626,0.475,7,-7.534,1,0.0267,0.413,0,0.22,0.201,124.133,7F9ckjDpL3J6wvI68Nb8PB,3,sad
0.549,0.919,4,-2.956,0,0.448,0.0203,0,0.456,0.0956,142.728,20oenBXlmwIfK0F3fQIjhM,4,sad
0.413,0.677,1,-5.12,1,0.255,0.0249,0,0.0793,0.0845,172.501,5Psnhdkyanjpgc2P8A5TSM,4,sad
0.791,0.652,9,-9.142,1,0.088,0.29,0.00855,0.12,0.402,139.98,704pDBm7IAxcE3DyAH6iQn,4,sad
0.745,0.685,4,-5.7,0,0.0313,0.53,0,0.176,0.437,121.977,204U3zjm9kkzX25Pr4Rdld,4,sad
0.525,0.461,4,-25.445,0,0.0457,0.971,0.912,0.0845,0.38,119.95,7eKfEzIex53m0P1vWoKEM4,4,sad
0.87,0.656,8,-5.081,1,0.117,0.0158,0,0.106,0.416,162.835,7g7raxdQpiLZT7aOlib4S1,4,sad
0.573,0.65,9,-9.778,1,0.0382,0.735,0,0.275,0.713,124.84,3lfJVjr8qaFZ9IBHaPjPjn,4,sad
0.627,0.627,5,-5.861,0,0.0341,0.367,0,0.294,0.555,90.066,2mqUKIjWiVYOSY464fY5xb,4,sad
0.244,0.346,6,-12.604,1,0.0304,0.603,0.000633,0.319,0.61,141.375,1vkbmoEPyp1MxrfWvmV5KD,4,sad
0.548,0.472,8,-8.343,1,0.477,0.626,0,0.119,0.138,82.36,0Px86mRlxdB3YqpK6KXWlr,4,sad
0.465,0.569,6,-4.934,1,0.0276,0.135,0,0.109,0.198,137.87,7ywzEdEuVG1lsjsRCGJfLy,3,sad
0.375,0.408,7,-7.163,1,0.0331,0.623,0,0.123,0.165,126.712,7jO0qPIBVGOmqxpCthE8H3,4,sad
0.779,0.473,5,-8.454,0,0.283,0.0924,0,0.104,0.273,73.918,2WX8QMtZVO20ywltD9BoeM,4,sad
0.373,0.575,8,-4.563,1,0.038,0.792,0,0.0563,0.0583,76.109,7k5oACgW2Uk2ygjL2VJR9L,4,sad
0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,0s3nnoMeVWz3989MkNQiRf,4,sad
0.458,0.113,2,-15.763,0,0.0325,0.915,0.00109,0.0959,0.322,107.486,0YBNpbrmpZdFRT0NFqii5C,4,sad
0.688,0.302,7,-7.305,1,0.0276,0.563,0,0.0901,0.259,123.033,7jD4TV5mua3KeLqOIqFXm0,4,sad
0.387,0.298,4,-8.797,1,0.049,0.96,0.00397,0.117,0.18,87.571,0xJtHBdhpdLuClaSQYddI4,4,sad
0.582,0.621,11,-6.183,0,0.283,0.00317,0,0.111,0.331,179.458,7LNbEZIGqRliXxEJNuF9jk,4,sad
0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,2hRMHB4ZEYrCBM0d0vVEdq,4,sad
0.655,0.328,6,-10.632,1,0.103,0.59,0.0884,0.0856,0.261,89.925,7cPglGvAJ6NsjBYjxepwwI,4,sad
0.662,0.602,4,-5.369,0,0.0401,0.0529,0,0.356,0.29,133.969,7l94dyN2hX9c6wWcZQuOGJ,3,sad
0.726,0.304,3,-8.677,1,0.131,0.839,0,0.0853,0.813,91.97,3iq9nhbI8fcnNamxMft1uv,4,sad
0.907,0.541,1,-4.692,0,0.102,0.239,3.4e-06,0.0895,0.338,124.002,1GpBcCRShuLTp4gz1Udc8n,4,sad
0.347,0.183,2,-11.149,1,0.0338,0.826,2.94e-05,0.126,0.24,149.681,3l2wMTBa64PBV7aCPwYkEf,4,sad
0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,2IRZnDFmlqMuOrYOLnZZyc,4,sad
0.495,0.201,2,-7.447,1,0.0355,0.86,0,0.107,0.269,165.111,1cCLicQkdoAMVruPUGPT71,4,sad
0.417,0.824,11,-4.524,0,0.105,0.00168,8.09e-05,0.343,0.642,137.836,11DdPGqDsM3ux1gVAqUIln,4,sad
0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,1hGy2eLcmC8eKx7qr1tOqx,4,sad
0.64,0.321,0,-14.604,1,0.0931,0.693,0.0307,0.114,0.177,145.045,7wC5eZcFS1Q1BsQ35DU6H4,4,sad
0.863,0.677,6,-4.553,1,0.3,0.0259,1.36e-05,0.327,0.509,84.953,2NxV6YF9HuNysDsaLOa82Z,4,sad
0.419,0.277,0,-8.59,1,0.0382,0.903,0,0.113,0.284,137.106,1BmW0V4h5gFHRsBy0WYNfZ,4,sad
0.361,0.55,0,-4.73,1,0.0355,0.53,0,0.0942,0.132,113.731,2g2vRiOy9jmPCmSrotvGt6,4,sad
0.708,0.596,8,-7.692,0,0.0412,0.0523,0,0.0555,0.588,133.955,4sozsbVtlFDe74usgfDPOQ,3,sad
0.36,0.434,7,-9.51,1,0.0313,0.795,0.0317,0.0995,0.0737,93.657,57gf8TTzlk1BE5R4C7gfz6,4,sad
0.608,0.351,0,-9.316,1,0.03,0.557,0.00892,0.201,0.157,135.976,0NvtVlIE0Vd1o9f6cHiXvT,4,sad
0.685,0.648,11,-3.536,0,0.149,0.812,0.0019,0.21,0.389,122.599,7vgNGxchhqDQWjKjLPTPro,4,sad
0.865,0.758,0,-6.485,1,0.0561,0.00968,0.0356,0.11,0.912,150.035,3dm59JCkJMWluH7n3bRzd4,4,sad
0.588,0.567,4,-3.738,0,0.0628,0.221,0,0.135,0.113,150.009,1xYpVRspgaLxdJLOTQkTjg,4,sad
0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.729,132.013,6cmm1LMvZdB5zsCwX5BjqE,4,sad
